"","iso_2","iso_3","country","continent","oecd","year","category","share"
"138","CA","CAN","Canada","NO",1,"2021","2000","13.966"
"139","CA","CAN","Canada","NO",1,"2018","6000","0.118"
"140","CA","CAN","Canada","NO",1,"2020","2000","14.04"
"141","CA","CAN","Canada","NO",1,"2020","5000","20.916"
"142","CA","CAN","Canada","NO",1,"2018","1200","12.204"
"143","CA","CAN","Canada","NO",1,"2019","2000","14.16"
"144","CA","CAN","Canada","NO",1,"2021","5000","21.442"
"145","CA","CAN","Canada","NO",1,"2020","1200","12.595"
"146","CA","CAN","Canada","NO",1,"2020","4000","11.704"
"147","CA","CAN","Canada","NO",1,"2019","1200","11.317"
"148","CA","CAN","Canada","NO",1,"2022","1300","1.378"
"149","CA","CAN","Canada","NO",1,"2019","5000","22.783"
"150","CA","CAN","Canada","NO",1,"2021","1200","13.482"
"151","CA","CAN","Canada","NO",1,"2021","4000","11.301"
"152","CA","CAN","Canada","NO",1,"2022","4000","10.524"
"153","CA","CAN","Canada","NO",1,"2022","1100","36.919"
"154","CA","CAN","Canada","NO",1,"2019","1100","36.33"
"155","CA","CAN","Canada","NO",1,"2020","1100","37.409"
"156","CA","CAN","Canada","NO",1,"2021","1100","36.319"
"157","CA","CAN","Canada","NO",1,"2018","2000","13.888"
"158","CA","CAN","Canada","NO",1,"2022","5000","21.923"
"159","CA","CAN","Canada","NO",1,"2018","4000","11.501"
"160","CA","CAN","Canada","NO",1,"2019","4000","11.694"
"161","CA","CAN","Canada","NO",1,"2022","3000","2.23"
"162","CA","CAN","Canada","NO",1,"2018","5000","23.251"
"163","CA","CAN","Canada","NO",1,"1990","4000","10.021"
"164","CA","CAN","Canada","NO",1,"1990","1100","40.844"
"165","CA","CAN","Canada","NO",1,"2021","6000","0.109"
"166","CA","CAN","Canada","NO",1,"2021","1300","1.171"
"167","CA","CAN","Canada","NO",1,"2019","6000","0.125"
"168","CA","CAN","Canada","NO",1,"2020","3000","2.243"
"169","CA","CAN","Canada","NO",1,"1990","1300","0.678"
"170","CA","CAN","Canada","NO",1,"2021","3000","2.211"
"171","CA","CAN","Canada","NO",1,"1990","6000","1.178"
"172","CA","CAN","Canada","NO",1,"1990","1200","7.041"
"173","CA","CAN","Canada","NO",1,"2019","1300","1.32"
"174","CA","CAN","Canada","NO",1,"2022","1200","12.632"
"175","CA","CAN","Canada","NO",1,"2019","3000","2.271"
