"iso_2","iso_3","country","continent","oecd","year","category","value"
"AT","AUT","Austria","EU",1,"2017","2000",60.779
"AT","AUT","Austria","EU",1,"2012","5000",49.134
"AT","AUT","Austria","EU",1,"2013","5000",51.375
"AT","AUT","Austria","EU",1,"2012","2000",57.734
"AT","AUT","Austria","EU",1,"2009","2000",56.45
"AT","AUT","Austria","EU",1,"2010","2000",54.861
"AT","AUT","Austria","EU",1,"2011","2000",60.277
"AT","AUT","Austria","EU",1,"2020","3000",11.802
"AT","AUT","Austria","EU",1,"2010","4000",2.059
"AT","AUT","Austria","EU",1,"2013","1100",41.782
"AT","AUT","Austria","EU",1,"2015","2000",55.318
"AT","AUT","Austria","EU",1,"2011","1200",8.593
"AT","AUT","Austria","EU",1,"2016","4000",2.159
"AT","AUT","Austria","EU",1,"2017","4000",2.19
"AT","AUT","Austria","EU",1,"2010","1200",7.309
"AT","AUT","Austria","EU",1,"2019","4000",2.416
"AT","AUT","Austria","EU",1,"2020","4000",2.493
"AT","AUT","Austria","EU",1,"2017","3000",11.549
"AT","AUT","Austria","EU",1,"2018","4000",2.479
"AT","AUT","Austria","EU",1,"2019","3000",12.067
"AT","AUT","Austria","EU",1,"2020","1300",0.934
"AT","AUT","Austria","EU",1,"2014","1300",1.716
"AT","AUT","Austria","EU",1,"2018","3000",12.293
"AT","AUT","Austria","EU",1,"2018","2000",66.883
"AT","AUT","Austria","EU",1,"2019","2000",66.13
"AT","AUT","Austria","EU",1,"2012","4000",2.269
"AT","AUT","Austria","EU",1,"2015","1300",1.437
"AT","AUT","Austria","EU",1,"2016","1300",1.257
"AT","AUT","Austria","EU",1,"2017","1300",1.23
"AT","AUT","Austria","EU",1,"2019","1300",0.929
"AT","AUT","Austria","EU",1,"2020","2000",67.06
"AT","AUT","Austria","EU",1,"2013","2000",62.187
"AT","AUT","Austria","EU",1,"2014","2000",64.095
"AT","AUT","Austria","EU",1,"2015","4000",2.18
"AT","AUT","Austria","EU",1,"2011","4000",2.191
"AT","AUT","Austria","EU",1,"2013","4000",3.107
"AT","AUT","Austria","EU",1,"2014","4000",2.64
"BE","BEL","Belgium","EU",1,"2019","1100",60.392
"BE","BEL","Belgium","EU",1,"2015","6000",0.044
"BE","BEL","Belgium","EU",1,"2008","1200",16.945
"BE","BEL","Belgium","EU",1,"2020","5000",54.883
"BE","BEL","Belgium","EU",1,"2008","6000",0.085
"BE","BEL","Belgium","EU",1,"2013","6000",0.061
"BE","BEL","Belgium","EU",1,"2018","1100",64.171
"BE","BEL","Belgium","EU",1,"2014","6000",0.058
"BE","BEL","Belgium","EU",1,"2017","1100",59.773
"BE","BEL","Belgium","EU",1,"2015","CUS",1.523
"BE","BEL","Belgium","EU",1,"2009","1200",11.263
"BE","BEL","Belgium","EU",1,"2019","6000",0
"BE","BEL","Belgium","EU",1,"2020","6000",0
"BE","BEL","Belgium","EU",1,"2016","1100",56.898
"BE","BEL","Belgium","EU",1,"2016","CUS",1.703
"BE","BEL","Belgium","EU",1,"2014","1100",68.893
"BE","BEL","Belgium","EU",1,"2010","1200",12.249
"BE","BEL","Belgium","EU",1,"2020","1100",61.263
"BE","BEL","Belgium","EU",1,"2009","5000",52.82
"BE","BEL","Belgium","EU",1,"2008","CUS",2.076
"BE","BEL","Belgium","EU",1,"2016","5000",52.211
"BE","BEL","Belgium","EU",1,"2017","5000",55.106
"BE","BEL","Belgium","EU",1,"2018","5000",60.038
"BE","BEL","Belgium","EU",1,"2019","5000",58.398
"BE","BEL","Belgium","EU",1,"2012","1100",61.248
"BE","BEL","Belgium","EU",1,"2015","1100",57.494
"BE","BEL","Belgium","EU",1,"2008","5000",56.743
"BE","BEL","Belgium","EU",1,"2016","2000",64.117
"BE","BEL","Belgium","EU",1,"2017","2000",67.279
"BE","BEL","Belgium","EU",1,"2009","CUS",1.593
